,baa_aaa,t10y2y,dff,cpi_yoy,indpro_yoy,dgs10,rvol,gz_spread,ebp,inv,episode,inv_E1,inv_E2,inv_E3,inv_E4,inv_E5,inv_E6
1988-01,1.1899999999999995,1.0357894736842106,6.833870967741936,4.129263913824044,7.683256014634088,8.66578947368421,33.42300277717281,1.642292720468512,-0.1807459875904034,0,0,0,0,0,0,0,0
1988-02,1.2199999999999989,1.0314999999999999,6.582758620689655,3.9355992844364973,6.815010338304517,8.212,21.888106487703684,1.5964031008325026,0.165403387329216,0,0,0,0,0,0,0,0
1988-03,1.1799999999999997,1.1030434782608696,6.575806451612903,3.832442067736186,6.92376356971911,8.373478260869565,14.280173167106227,1.4943899163805952,-0.1002159869015864,0,0,0,0,0,0,0,0
1988-04,1.2300000000000004,1.129,6.871666666666667,3.9929015084294583,6.867457888147577,8.7185,20.0064577243118,1.394489346097105,-0.0292457162221515,0,0,0,0,0,0,0,0
1988-05,1.1399999999999988,1.0933333333333333,7.086451612903226,3.9823008849557473,5.981899007846314,9.08904761904762,15.868883574257923,1.4005998368546866,0.0524194198490588,0,0,0,0,0,0,0,0
1988-06,1.1400000000000006,0.8954545454545454,7.509,3.96475770925111,5.741687913317128,8.921363636363637,18.55916964446961,1.461479289175077,0.150581903593719,0,0,0,0,0,0,0,0
1988-07,1.1499999999999986,0.777,7.754838709677419,4.130052724077338,5.040822414780433,9.056000000000001,15.245363941450506,1.352658344162862,-0.1351730444574528,0,0,0,0,0,0,0,0
1988-08,1.1000000000000014,0.6317391304347827,8.009032258064517,4.111986001749779,4.781020904097089,9.260434782608696,14.629899407313083,1.3358934015049817,0.0389058389647731,0,0,0,0,0,0,0,0
1988-09,1.08,0.5138095238095238,8.193333333333333,4.184829991281602,4.043725665351872,8.977142857142857,13.39754705376139,1.4314266115200294,0.2243896627694785,0,0,0,0,0,0,0,0
1988-10,0.9000000000000004,0.4415,8.296129032258065,4.260869565217407,3.118549371874013,8.7955,11.582279652028696,1.556773251364014,0.3297827209281172,0,0,0,0,0,0,0,0
1988-11,1.0300000000000011,0.2965,8.345,4.246100519930662,2.8661985664013345,8.9625,13.259578988551633,1.4785730124629266,0.2305060899201902,0,0,0,0,0,0,0,0
1988-12,1.08,0.017142857142857144,8.76032258064516,4.4117647058823595,2.755857936251749,9.105714285714285,11.02355850684383,1.491305310749086,0.366253257980671,0,0,0,0,0,0,0,0
1989-01,1.0300000000000011,-0.08399999999999999,9.121290322580645,4.482758620689653,3.0792614276063945,9.0915,9.396613591012088,1.5547748210063714,0.3636309612619555,1,1,1,0,0,0,0,0
1989-02,0.9699999999999989,-0.2026315789473684,9.36107142857143,4.647160068846801,2.111356945517584,9.168947368421053,10.570390088985395,1.4457451433967528,0.2508429648788135,1,1,1,0,0,0,0,0
1989-03,0.8699999999999992,-0.32181818181818184,9.848709677419356,4.892703862660941,2.1147048238211674,9.357727272727272,13.248133939221514,1.521796417969204,0.4841258027336934,1,1,1,0,0,0,0,0
1989-04,0.8200000000000003,-0.27599999999999997,9.835333333333333,5.034129692832767,1.510544400528735,9.1755,11.024107635636014,1.5762463223027845,0.5682877241206215,1,1,1,0,0,0,0,0
1989-05,0.8900000000000006,-0.15863636363636366,9.809032258064516,5.276595744680845,1.1373664245240223,8.85909090909091,10.686694751091464,1.627533859086566,0.390783189970584,1,1,1,0,0,0,0,0
1989-06,0.9299999999999997,-0.1290909090909091,9.53,5.1694915254237195,0.8371301845179868,8.277272727272727,11.513291432053599,1.828941160853612,0.6496650032149622,1,1,1,0,0,0,0,0
1989-07,0.9399999999999995,0.199,9.235483870967743,5.063291139240511,-0.150328322933313,8.0185,12.232769523265583,1.957873517878501,0.8769322600832832,0,1,0,0,0,0,0,0
